Source,Prediction,Reference
"Khanh Hue, another resident introduced the tree as a family member who has been part of her life since her father was a boy.","Khánh Huế, một cư dân khác giới thiệu cây như một thành viên gia đình đã trở thành một phần trong cuộc sống của cô kể từ khi cha cô là một cậu bé.","Cô Khánh Huệ, một người dân khác giới thiệu cây như một thành viên trong gia đình, người đã là một phần của cuộc đời cô kể từ khi cha cô còn là một cậu bé."
"After getting his doctorate in 1955 at Edinburgh University , the Manchester-born Edwards then began working on developing the IVF process , first studying germ cells in animals .","Sau khi được đào tạo vào năm 1955 tại Đại học Edinburgh , Edwards , năm 1955 , sau đó được bắt đầu nghiên cứu về quá trình tiêu hoá , nghiên cứu tế bào mầm bệnh ở động vật .","Sau khi lấy học vị tiến sĩ vào năm 1955 tại trường Đại học Edinburgh , tiến sĩ Edwards sinh ra tại Manchester đã bắt đầu nghiên cứu phát triển quá trình thụ tinh nhân tạo , trước tiên nghiên cứu trên nguyên bào ở động vật ."
"The grower said that she used the plant to feed pigs, fish, chickens, and ducks and did not know marijuana was harmful.","Người lớn cho biết bà sử dụng cây để nuôi lợn, cá, gà và những con gà và không biết cần sa làm hại.","Người trồng nói rằng cô đã sử dụng cây này để nuôi lợn, cá, gà và vịt và không biết cần sa có hại."
"Now, of course, screens are miraculous","Tất nhiên, màn hình là sự ảo giác","Bây giờ, dĩ nhiên, máy tính thật vi diệu"
"They all have large , young populations , with an average age of 27 .","Tất cả đều có dân số lớn , trẻ , với độ tuổi trung bình 27 .","Tất cả những quốc gia ấy có dân số trẻ , đông , với tuổi trung bình là 27 ."
unless diet and levels of activity change.,trừ phi lượng chế độ ăn uống và mức độ hoạt động thay đổi.,nếu không ăn kiêng và tập thể dục.
This has actually demonstrated their control and jurisdiction over this maritime area ; and represents a kind of sovereignty oath to their belief .,Điều này thực sự đã chứng minh sự kiểm soát và phạm quyền của họ về khu vực biển này ; và đại diện cho một loại chủ quyền từ sự tin tưởng của họ .,Này đã thực sự biểu lộ sự kiểm soát và quyền pháp lý của họ trên vùng biển này ; và đại diện cho một dạng tuyên bố chủ quyền theo ý của họ .
as well as the core of healing and health.,cũng như cốt lõi của việc làm và sức khỏe.,cũng như điều cốt lõi của việc chữa bệnh và sức khỏe.
"In response to the city’s request, the ministry asked HCMC authorities to seek approval and guidance from the Ministry of Construction.","Để đáp lại yêu cầu của thành phố, Bộ đã yêu cầu chính quyền TP HCM tìm kiếm sự chấp thuận và hướng dẫn từ Bộ Xây dựng.","Đáp lại yêu cầu của thành phố, Bộ yêu cầu chính quyền TP HCM tìm kiếm sự chấp thuận và hướng dẫn của Bộ Xây dựng."
depending upon what I’m reading.,tùy thuộc vào những gì tôi đang đọc.,loại tài liệu tôi đang đọc.
"['Later this year, Intel will also release new fourth-generation Core processors based on the Haswell microarchitecture, which will succeed Ivy Bridge.', 'Low-power Haswell chips will be used in some tablets, and Dell’s laptops and convertibles could potentially be based on Haswell.', 'Last month CNET reported that an upcoming version of Windows code-named Blue has power management features that could increase battery life in Haswell-based laptops and tablets.']","['Đầu năm nay, Intel cũng sẽ phát hành các bộ vi xử lí Core thế hệ thứ tư dựa trên sản xuất vi mô Haswell, sẽ thành công vào Ivy Bridge.', 'Các chip tiêu dùng tối đa của Ivy Bridge sẽ được sử dụng trong một số máy tính bảng và máy tính bảng Dell có khả năng","['Cuối năm nay, Intel cũng sẽ phát hành vi xử lý Core mới, thế hệ thứ tư dựa trên vi kiến trúc Haswell, sẽ là thế hệ kế tiếp của Ivy Bridge.', 'Chíp Haswell ít tiêu tốn điện năng sẽ được sử dụng trong một số máy tính bảng.', 'Những chiếc máy tính xách tay và máy tính có thể chuyển đổi của Dell có thể sẽ dựa trên Haswell.', 'Tháng trước, CNET đưa tin một phiên bản Windows sắp ra mắt có tên mã là Blue sẽ có những tính năng quản lý điện năng có thể làm tăng thời lượng pin trong những máy tính xách tay và máy tính bảng dựa trên vi kiến trúc Haswell.']"
The modern part-time investor may be best served by long term investing that allows for the characteristics of the company to play more heavily in to the equation .,Nhà đầu tư thời gian hiện đại có thể được ưu tiên nhất bằng việc đầu tư lâu dài cho phép các đặc điểm của công ty đóng vai trò tốt hơn trong lĩnh vực này .,"Nhà đầu tư bán thời gian hiện đại có thể hài lòng nhất về đầu tư dài hạn , đầu tư mà cho phép các đặc điểm của công ty đóng vai trò quan trọng hơn vào sự cân bằng ."
"First, you have the issue of figuring out where to protect.","Đầu tiên, bạn có vấn đề về việc tìm ra nơi để bảo vệ.","Thứ nhất, bạn sẽ gặp vấn đề về tìm nơi để bảo vệ."
"After the two cases of diphtheria were detected, the provincial Department of Health asked the authorities to disinfect all the households in Village 2 in Hamlet 6, Be Van Dan Primary School and the commune’s healthcare center, Tuoi Tre Online reported.","Sau hai trường hợp bệnh bạch hầu được phát hiện, Bộ Y tế tỉnh đã yêu cầu chính quyền khử trùng tất cả các hộ gia đình ở làng 2 ở Hamlet 6, Trường tiểu học Bà Văn Đan và trung tâm y tế của xã, Tuổi Trẻ Online đưa tin.","Sau khi phát hiện hai trường hợp mắc bệnh bạch hầu, Sở Y tế tỉnh đã yêu cầu chính quyền khử trùng tất cả các hộ gia đình ở thôn 2 ở thôn 6, trường tiểu học Bế Văn Đàn và trung tâm chăm sóc sức khỏe của xã, theo Tuổi Trẻ đưa tin."
"We have robots that have to deal with soft structures,","Chúng ta có robot phải đối phó với các cấu trúc mềm,","Chúng tôi có robot phải làm việc với các cấu trúc mềm,"
High prices for oil fuel the same sort of process as in any other sector ; suppliers look for ways to provide more of the product and take advantage of those higher prices .,Giá nhiên liệu dầu cao như trong bất kỳ ngành nào khác ; các nhà cung cấp tìm cách cung cấp nhiều sản phẩm và tận dụng những giá cao hơn .,Giá nhiên liệu cao diễn ra trong bất kỳ lĩnh vực nào ; các nhà cung cấp tìm cách cung cấp thêm sản phẩm và lợi dụng giá cả tăng cao đó .
"We are addicted, because we see something that pisses us off,","Chúng tôi nghiện, bởi vì chúng tôi thấy cái gì đó làm chúng tôi bị tổn thương,","Chúng ta trở nên nghiện bởi vì có những thứ khiến ta bức xúc,"
Reporter : Cathy Majtenyi,Phóng viên : Cathy Majtenyi,Phóng viên : Cathy Majtenyi
"""The law defines it as the """"acquisition of knowledge about food and nutrition, as well as the ability to make appropriate decisions through practical experience with food, with the aim of developing people's ability to live on a healthy diet"""".""","""Liên luật định nghĩa nó là """"thiết lập kiến thức về thực phẩm và dinh dưỡng, cũng như khả năng đưa ra những quyết định thích hợp thông qua kinh nghiệm thực tế với thực phẩm, với mục đích phát triển khả năng sống trên chế độ ăn uống lành mạnh"""".""","""Pháp luật định nghĩa nó là """"thu nhận kiến thức về thực phẩm và dinh dưỡng, cũng như khả năng thực hiện các quyết định thích hợp thông qua kinh nghiệm thực tế với thực phẩm, với mục đích phát triển khả năng sống trên một người dân khỏe mạnh chế độ ăn uống""""."""
What is the average age when men start losing their hair ?,Tuổi trung bình khi nam giới bắt đầu mất tóc ?,Nam giới bắt đầu mắc chúng rụng tóc ở độ tuổi trung bình là bao nhiêu ?
"Then you can redirect the bully 's focus ( "" Oops , I just heard the bell for third period "" ) , and calmly walk away from the situation .","Sau đó bạn có thể tập trung vào tập trung của bạn bắt nạt ( "" Oops , tôi chỉ nghe chuông trong thời gian thứ ba "" ) , và bạn sẽ yên tâm đi khỏi tình huống .","Sau đó , bạn có thể chuyển hướng tập trung của kẻ bắt nạt , ( "" Á , vừa có chuông vào tiết học thứ ba kìa ! "" ) , và bình tĩnh thoát ra khỏi tình huống nguy hiểm ."
"And I'd never seen a card trick before,","Và tôi chưa bao giờ thấy một cái lỗi thẻ,","Tôi chưa bao giờ thấy ảo thuật bài trước đây,"
or that slippery business decision.,hay quyết định kinh doanh lớn.,hay quyết định kinh doanh mạo hiểm.
Don't be shy.,Đừng sợ hãi.,Đừng ngại.
and the second two will be introduced early next year.,và hai lần thứ hai sẽ được giới thiệu đầu năm sau.,và 02 kiểu còn lại sẽ được giới thiệu vào đầu năm sau.
And we found that those CAR T cells survived in the patients,Và chúng tôi nhận thấy rằng các tế bào CAR-T sống sót ở bệnh nhân,Và chúng tôi thấy rằng những tế bào CAR-T sống sót
"In December 2019 Vietnam announced a national action plan for the management of plastic waste, which promised to cut marine plastic waste by 75 percent and stop generating plastic waste in coastal tourist areas by 2030.","Vào tháng 12 năm 2019 Việt Nam đã công bố kế hoạch hành động quốc gia để quản lý chất thải nhựa, hứa hẹn sẽ cắt giảm 75% rác thải nhựa ở các khu du lịch ven biển và ngừng tạo ra chất thải nhựa ở các khu du lịch ven biển vào năm 2030.","Vào tháng 12 năm 2019, Việt Nam đã công bố kế hoạch hành động quốc gia về quản lý chất thải nhựa, hứa sẽ cắt giảm 75% chất thải nhựa biển và ngừng tạo ra chất thải nhựa ở các khu du lịch ven biển vào năm 2030."
